
ArraySize; ThreadsX; ThreadsY; GridSizeX; GridSizeY; Kernel 1; Kernel 2.1; Kernel 2.2; Kernel 1.2; HostTime; HostToDevice; DeviceToHost; CacheConfiguration
20480;512;1;40;1;0.237582;0.0141106;0.00662512;0.0676153;1.287;0.156134;3.2064e-05;EqualCache
20480;512;1;40;1;0.273967;0.0143813;0.00664573;0.0677162;1.2874;0.155643;3.1296e-05;EqualCache
20480;512;1;40;1;0.237381;0.014153;0.00663347;0.0677703;1.28783;0.157104;3.3056e-05;EqualCache
20480;512;1;40;1;1.13412;0.0963125;0.0297442;1.6865;1.28978;0.173192;3.3408e-05;EqualCache
20480;512;1;40;1;1.09825;0.0955801;0.0295396;1.67929;1.28722;0.155588;3.2608e-05;EqualCache
20480;512;1;40;1;1.10572;0.0955797;0.0295547;1.67746;1.28795;0.156829;3.2224e-05;EqualCache
20480;512;1;40;1;0.235963;0.0140991;0.00662938;0.0676516;1.28773;0.158902;3.2928e-05;EqualCache
20480;512;1;40;1;1.05915;0.0959613;0.0295491;1.68002;1.28712;0.159705;3.3152e-05;EqualCache
20480;512;1;40;1;0.252969;0.0141353;0.00664189;0.0676837;1.28761;0.159377;3.3056e-05;EqualCache
20480;512;1;40;1;0.215478;0.014119;0.00662323;0.0676782;1.28673;0.15993;3.1264e-05;EqualCache
20480;512;1;40;1;0.215735;0.0141425;0.00662931;0.0676566;1.28737;0.157532;3.3184e-05;EqualCache
20480;512;1;40;1;1.03246;0.0955679;0.0295176;1.67592;1.28783;0.158363;3.3088e-05;EqualCache
20480;512;1;40;1;1.11176;0.0955722;0.0295279;1.67257;1.28725;0.173358;3.3504e-05;EqualCache
20480;512;1;40;1;0.274096;0.0141415;0.00663053;0.0677521;1.28711;0.15887;3.2064e-05;EqualCache
20480;512;1;40;1;0.276602;0.0141316;0.00662762;0.0676866;1.28735;0.154057;3.1264e-05;EqualCache
20480;512;1;40;1;2.29594;0.0955748;0.0295319;1.67621;1.28842;0.171204;3.1072e-05;EqualCache
20480;512;1;40;1;2.31511;0.0955773;0.0295288;1.67373;1.2877;0.169959;3.2928e-05;EqualCache
20480;512;1;40;1;2.29639;0.0955747;0.0295403;1.67899;1.28687;0.160342;3.312e-05;EqualCache
20480;512;1;40;1;1.14783;0.0955746;0.029537;1.67815;1.28726;0.172357;3.2928e-05;EqualCache
20480;512;1;40;1;0.244443;0.0141401;0.00663574;0.0676598;1.28898;0.171827;3.4272e-05;EqualCache
20480;512;1;40;1;0.274933;0.0141473;0.00663971;0.0676092;1.28741;0.174265;3.3248e-05;EqualCache
16384;512;1;32;1;0.176941;0.0108861;0.00483056;0.052226;0.824357;0.102182;2.9312e-05;PrefereL1
16384;512;1;32;1;0.173555;0.00903542;0.00421056;0.0512084;0.824609;0.0982151;2.7776e-05;PrefereL1
16384;512;1;32;1;0.168646;0.00903168;0.0041991;0.0512306;0.824028;0.103815;2.8512e-05;PrefereL1
16384;512;1;32;1;0.168023;0.00903978;0.00419392;0.0512412;0.824276;0.103246;2.8224e-05;PrefereL1
16384;512;1;32;1;0.176448;0.0108806;0.0044585;0.0512269;0.828264;0.110565;2.9504e-05;PrefereL1
16384;512;1;32;1;0.176489;0.0090361;0.00420611;0.0513166;0.823901;0.109781;2.848e-05;PrefereL1
16384;512;1;32;1;0.179603;0.0100454;0.00402829;0.0548772;0.824224;0.111579;2.8864e-05;PrefereL1
16384;512;1;32;1;0.181981;0.0107846;0.00426758;0.0581591;0.824079;0.108927;2.928e-05;PrefereL1
16384;512;1;32;1;0.175597;0.00940534;0.00381229;0.0512184;0.823821;0.110978;2.9184e-05;PrefereL1
16384;512;1;32;1;0.16921;0.0112948;0.00729542;0.053375;0.824258;0.0994898;2.8672e-05;PrefereL1
16384;512;1;32;1;0.670142;0.0541554;0.0215203;1.18688;0.823664;0.102016;2.9408e-05;PrefereL1
16384;512;1;32;1;0.16087;0.0107761;0.00704419;0.0599571;0.825944;0.111973;2.9344e-05;PrefereL1
16384;512;1;32;1;0.175402;0.00878413;0.0125009;0.0583822;0.823753;0.111897;2.88e-05;PrefereL1
16384;512;1;32;1;0.173501;0.00889408;0.0127284;0.0599368;0.824805;0.103617;2.8736e-05;PrefereL1
16384;512;1;32;1;0.172326;0.00887162;0.012661;0.0595175;0.824188;0.108338;2.8704e-05;PrefereL1
16384;512;1;32;1;0.180659;0.00923648;0.0131361;0.0528466;0.823824;0.10047;2.9312e-05;PrefereL1
16384;512;1;32;1;0.623352;0.04715;0.0263351;1.1811;0.824384;0.110549;2.8992e-05;PrefereL1
16384;512;1;32;1;0.609127;0.0475227;0.0265444;1.18595;0.824481;0.111223;2.8448e-05;PrefereL1
16384;512;1;32;1;0.614786;0.0477862;0.0265318;1.19197;0.824575;0.110549;2.8096e-05;PrefereL1
16384;512;1;32;1;0.173888;0.00890246;0.012703;0.0540284;0.824414;0.110846;2.8928e-05;PrefereL1
16384;512;1;32;1;0.620073;0.0471867;0.0266155;1.18775;0.825391;0.110903;2.8928e-05;PrefereL1
16384;512;1;32;1;0.16402;0.00785661;0.0115695;0.0512503;0.82729;0.106584;2.832e-05;PrefereL1
16384;512;1;32;1;0.610314;0.0475464;0.0266337;1.18448;0.824021;0.101606;3.0912e-05;PrefereL1
16384;512;1;32;1;0.181224;0.00926685;0.0130804;0.0513464;0.824552;0.101655;2.7488e-05;PrefereL1
